code,title,genre,age,openDate,rate,participate,actors,story,,,,,,,,,,,,,,,
208899,가슴이 떨리는 건 너 때문 : 네이버 영화,멜로/로맨스,12세 관람가, 2022.02.09,6.31,42,우키쇼 히다카,시라이시 세이,이타가키 미즈키,고등학교 첫 학기,<br/>전학생 ‘하야토’(우키쇼 히다카)를 보고 첫눈에 반해버린<br/>‘츠카사’(시라이시 세이)는 친구들의 부추김에 마음을 고백했다가 단번에 차이고 만다.<br/>고등학교 3학년, 교내 최고의 인기남 ‘하세베’(이타가키 미즈키)와 친해지며<br/>그의 사촌인 ‘마유’(하라 나노카)가 하야토의 전 여자친구였다는 사실을 알게 된<br/>‘츠카사’의 마음은 다시금 동요하는데…<br/>서투르지만 온 마음을 다해 좋아하고, 멀어져도 다시 한 발짝 다가가는,<br/>달콤쌉쌀한 열아홉 청춘이 지금, 두근대기 시작한다!,,,,,,,,
212082,감동주의보 : 네이버 영화,멜로/로맨스,코미디,전체 관람가,2022.06,,,홍수아,최웅,기주봉,감동받으면 죽는다고?!<br/>희귀질환인 감동병을 앓는 컬링 천재 보영(홍수아).<br/>평생을 함께하고 싶은 시골청년 ‘철기’(최웅)를 만나<br/>인생 최고의 순간들을 맞이한다.<br/>어느날, 코피가 멈추게 하는 방법(?)을 찾게 되면서<br/>포기했던 컬링을 다시 도전하게 되는데…<br/><br/>보영은 감동병을 이기고 꿈과 사랑 <br/>두 마리 토끼를 다 잡을 수 있을까?,,,,,,,,,,,
166417,갓길로 달리는 코뿔소 : 네이버 영화,드라마,15세 관람가,2022.06,,,한이진,문창길,김소이,‘동석’(결휘)은 복싱 전국체전에서 우승하지만<br/>‘청무관’의 관장이자 아버지인 ‘순일’(문창길)의 후광으로 인한<br/>승부조작이라는 오명을 쓰고 사람들에게 인정받지 못한다.<br/>그렇게 체육관을 뛰쳐나와 3류 양아치 같은 삶을 살던 그는<br/>어느 날 아버지가 죽었다는 소식을 듣게 되고,<br/>아버지의 마지막 유산인 ‘청무관’의 간판을 지키기 위해<br/>가장 무모한 시합을 준비하게 된다!,,,,,,,,,,,,
208870,개인레슨 : 네이버 영화,스릴러,청소년 관람불가, 2022.05.26,,,,지역의 유력인사이자 교수 브래들리.<br/>좋은 평판과 달리 남몰래 여학생들을 납치해<br/>이상한 실험과 사육을 이어간다.<br/><br/>한편 여대생 실종 사건을 조사하던 호크 형사는<br/>실종자들 모두가 같은 강의를 수강한 사실을 확인하고<br/>브래들리 교수의 뒤를 쫒기 시작하는데…,,,,,,,,,,,,,,,
199668,걸 위드 더 카메라  : 네이버 영화,다큐멘터리,12세 관람가, 2022.01.20,9.75,8,,보여지는 나와 바라보는 나는 어떻게 다를까?<br/>‘진짜 나’는 어떤 사람일까?<br/><br/>나를 찾는 프로젝트 <br/>Girl With The Camera,,,,,,,,,,,,,,,
212879,걸즈 앤 판처 최종장 제3화 : 네이버 영화,애니메이션,12세 관람가, 2022.01.12,,,후치가미 마이,카야노 아이,오자키 마미,첫 경기에서 강호 BC자유 고교를 꺾고<br/>2회전에 오른 오아라이 여고 전차도 팀.<br/><br/>풀과 나무가 무성한 정글, 캄캄한 야전 환경<br/>그리고 승리를 위해 온갖 돌격 전법으로 압박하는<br/>치하탄 고교에 맞서 미호와 전차도 팀원들은 고군분투한다.<br/><br/>한편, 타 학교의 시합도 결과를 예측할 수 없는데…<br/>과연 승리를 거머쥘 최종 우승 팀은 누구?!,,,,,,,,,,,
190400,경관의 피 : 네이버 영화,범죄,드라마,15세 관람가, 2022.01.05,7.26,3,159,조진웅,최우식,박희순,출처불명의 막대한 후원금을 받고 고급 빌라, 명품 수트, 외제차를 타며 <br/>범죄자들을 수사해온 광역수사대 반장 강윤(조진웅)의 팀에 <br/>어느 날 뼛속까지 원칙주의자인 신입경찰 민재(최우식)가 투입된다. <br/><br/>강윤이 특별한 수사 방식을 오픈하며 점차 가까워진 두 사람이 <br/>함께 신종 마약 사건을 수사하던 중<br/>강윤은 민재가 자신의 뒤를 파는 두더지, 즉 언더커버 경찰임을 알게 되고 <br/>민재는 강윤을 둘러싼 숨겨진 경찰 조직의 비밀을 마주하게 되는데…,,,,,,,,
216272,경아의 딸 : 네이버 영화,,15세 관람가, 2022.06.16,,,김정영,하윤경,김우겸,홀로 살아가는 경아에게 힘이 되어주는 유일한 존재인<br/>딸 연수는 독립한 뒤로 얼굴조차 보기 어렵다.<br/><br/>그러던 어느 날, 헤어진 남자친구가 유출한 동영상 하나에 연수의 평범한 일상이 무너져버리고<br/>이 사건은 잔잔했던 모녀의 삶에 걷잡을 수 없는 파동을 일으키는데…<br/><br/>“엄마 탓 아니야. 내 탓도 아니고”,,,,,,,,,,,,
201335,고스트랜드 : 네이버 영화,액션,공포,SF,스릴러,15세 관람가,2022.06,,,니콜라스 케이지,소피아 부텔라,닉 카사베츠,붉은 조명이 드리운 스산한 사무라이 마을.<br/>신비로운 소녀 ‘버니스’와 그녀의 친구들이 한밤중 몰래 탈출을 시도한다.<br/>사라진 그녀를 찾기 위해 사무라이 마을의 총독은 ‘히어로’를 고용한다. <br/>그가 도착한 곳은 오래전 끔찍한 폭발로 시간이 멈추고 희망이 사라진 황폐한 마을 ‘고스트랜드’<br/>그곳에서 목소리를 잃은 ‘버니스’를 찾은 ‘히어로’는 ‘고스트랜드’의 진짜 정체를 알게 되는데…<br/><br/>종말론적 배틀로얄이 시작된다!,,,,,,,,,,
207444,고스팅 글로리아 : 네이버 영화,멜로/로맨스,코미디,판타지,15세 관람가, 2022.04.14,9.53,19,,책에 대해선 모르는 게 없는 서점 직원 글로리아.<br/>30살이 되는 올해에도 연애에는 시큰둥하기만 한 모태솔로 그녀는<br/>사랑 충만한 윗집 커플의 야릇한 층간 소음으로 불면증에 시달리다 결국 이사를 결심한다.<br/>새집에서의 첫날밤, 정체불명의 존재로 인해 생애 첫 오르가즘을 느낀 글로리아는<br/>하루하루 새로운 경험을 통해 사랑의 즐거움에 눈뜨게 되고.<br/>그러던 어느 날, 서점 고객으로 만난 앙헬에게 호감을 느끼고 데이트를 시작하자<br/>매일 밤 글로리아를 찾던 ‘그’ 존재는 신기루처럼 사라져 버리고 마는데…<br/><br/>일도, 사랑도 성공하고 싶은 글로리아의 앞날은 과연?!,,,,,,,,,,
