code,title,genre,age,openDate,rate,participate,actors,story,,,,,,,,,,,,,,,
217038,드래곤볼 슈퍼: 슈퍼 히어로 : 네이버 영화,애니메이션,액션,모험,,2022,,,노자와 마사코,후루카와 토시오,미나구치 유코,레드리본군은 손오공의 손에 절멸했다.<br/>그러나 레드리본군의 정신을 계속해서 이어받고 있던 몇몇 사람들이<br/>궁극의 인조인간 ‘감마1’과 ‘감마2’를 만들었다.<br/>이들 두 인조인간은 자신을 ‘슈퍼 히어로즈’라 부른다.<br/>이들이 피콜로와 손오반을 공격하기 시작하는데…<br/>레드리본군의 새로운 목표는 무엇인가?<br/>다가오는 위험에 맞서 이제 깨어날 시간이다, 슈퍼 히어로!,,,,,,,,,,
211536,딜리셔스: 프렌치 레스토랑의 시작 : 네이버 영화,드라마,12세 관람가, 2022.05.04,,,그레고리 가데부아,이자벨 까레,벤자민 라베른헤,18세기 프랑스, 열정 넘치는 요리사 망스롱은 <br/>새로 개발한 메뉴로 인해 자신이 모시던 샹포르 공작에게 해고된다. <br/>시골 주막을 연 그의 앞에 나타난 미스테리한 여인 루이즈. <br/>그녀와 함께 일하면서 잊었던 요리에 대한 열정이 되살아나고, <br/>망스롱의 시골 주막은 맛집으로 입소문이 나기 시작하는데… <br/><br/>요리의 역사를 바꾼 최초의 프렌치 레스토랑 이야기!,,,,,,,,,,,
183862,뜨거운 피 : 네이버 영화,범죄,드라마,15세 관람가, 2022.03.23,7.3,2,301,정우,김갑수,부산 변두리 작은 포구 '구암'의 절대적인 주인 '손영감’(김갑수),<br/>그의 밑에서 수년간 수족으로 일해온 '희수'(정우)는 <br/>무엇 하나 이뤄낸 것 없이, 큰돈 한번 만져보지 못한 채 반복되는 건달 짓이 지긋지긋하다.<br/><br/>1993년, 범죄와의 전쟁 이후 새로운 구역을 집어삼키기 위해 물색중인 영도파 건달들은 <br/>아무도 관심 갖지 않는 ‘구암’에 눈독을 들이고, <br/>영도파 에이스이자 ‘희수’의 오랜 친구 '철진'(지승현)이 '희수'에게 은밀히 접근한다. <br/><br/>새로운 삶을 시작하려는 ‘희수’는 갈등하고, <br/>조용하던 ‘구암’을 차지하려는 밑바닥 건달들의 치열한 생존 싸움이 시작되는데...<br/><br/>더 이상 물러날 곳도 도망칠 곳도 없다.<br/>누구든 망설이는 놈이 진다!,,,,,,,
206642,레드 로켓 : 네이버 영화,드라마,코미디,청소년 관람불가, 2022.03.12,7.62,24,사이먼 렉스,L.A에서 포르노 배우로 활동하던 마이키는 빈털터리가 되자 별거 중이었던 아내의 집으로 돌아온다. 아무런 말 없이 자신을 버렸던 남편의 뻔뻔함에 혀를 내두르는 아내와 장모, 하지만 막무가내로 사정하는 마이키에게 집세를 분담하는 조건으로 잠시 머무르는 것을 허락하게 된다. 며칠 동안 잠잠하던 마이키, 어느 날 도넛츠 가게에서 일하는 십 대 소녀를 만나게 되고 그의 못된 ‘옛 버릇’이 다시 살아나기 시작하는데... <br/><br/>[제26회 부산국제영화제],,,,,,,,,,,,
207927,레벤느망 : 네이버 영화,드라마,15세 관람가, 2022.03.10,7.91,187,아나마리아 바토로메이,작가를 꿈꾸는 대학생 ‘안’은 예기치 못한 임신 사실을 알게 된다.<br/>낳으면 미혼모가 되고, 낳지 않으면 감옥에 가야 하는 현실.<br/>의지와 상관없이 흘러가는 시간 속에서<br/>‘안’은 어떤 대가를 치러서라도 끝까지 가기로 결심하는데…,,,,,,,,,,,,,,
209551,레이징 파이어 : 네이버 영화,액션,범죄,드라마,15세 관람가, 2022.01.20,7.88,67,견자단,사정봉,강력 범죄 수사대에서 함께 믿고 일하던<br/>베테랑 경찰 ‘장충방’과 그의 후배 ‘추강아오’.<br/><br/>어느 날 같은 임무를 맡은 두 사람은<br/>돌이킬 수 없는 사건으로 인해<br/>한순간에 운명이 뒤바뀌게 되고<br/>동료에서 적이 되어버린다.<br/><br/>서로가 서로의 표적이 된 그들은<br/>피할 수 없는 대결을 시작하게 되는데….<br/><br/>둘 중 하나는 죽어야 끝난다!,,,,,,,,,,,,
212886,레지던트 이블: 라쿤시티 : 네이버 영화,액션,공포,청소년 관람불가, 2022.01.19,5.11,488,카야 스코델라리오,해나 존-케이먼,로비 아멜,거대 제약회사 '엄브렐러'가 철수한 후 폐허가 된 '라쿤시티'.<br/>어릴 적 끔찍한 사건을 겪고 고향을 떠났던 클레어가 돌아온 그날 밤,<br/>라쿤시티는 좀비 바이러스에 감염되어 순식간에 지옥으로 돌변한다.<br/><br/>남은 시간은 7시간, 죽음의 도시를 탈출하라!,,,,,,,,,,
194968,로망스 돌 : 네이버 영화,멜로/로맨스,드라마,청소년 관람불가, 2022.04.01,7.33,24,아오이 유우,타카하시 잇세이,러브돌 전문가 '테츠오'(타카하시 잇세이)는 '소노코'(아오이 유우)에게 첫눈에 반한다.<br/>하지만 자신의 직업을 그녀에게 밝히지 못한 채 결혼한 후에도 비밀을 품고 살아간다.<br/>애틋하게 사랑했음에도, 시간이 지날수록 어딘가 어긋나기 시작하는 두 사람.<br/>그러던 어느 날, '소노코'는 자신의 말할 수 없었던 비밀을 '테츠오'에게 털어놓는데...<br/><br/>사랑 앞에서 헤매는 두 사람의 은밀한 비밀에 관한 이야기,,,,,,,,,,,
207922,로스트 도터 : 네이버 영화,드라마,, 2022.07.14,,,올리비아 콜맨,다코타 존슨,제시 버클리,그리스로 혼자 휴가를 떠난 대학 교수 레다는<br/>딸을 가진 젊은 여자 니나를 보고 단번에 시선을 빼앗긴다.<br/>매일 같은 해변에서 시간을 보내며 서로를 응시하던 두 사람,<br/>갑자기 니나의 딸이 사라지고 레다는 옛 기억을 떠올린다.,,,,,,,,,,,,
212098,로스트 시티 : 네이버 영화,액션,코미디,멜로/로맨스,모험,12세 관람가, 2022.04.20,6.09,668,산드라 블록,채닝 테이텀,다니엘 래드클리프,전설의 트레저를 차지하기 위해 재벌 페어팩스(다니엘 래드클리프)는 유일한 단서를 알고 있는 베스트셀러 작가 로레타(산드라 블록)를 납치하게 된다. 어쩔 수 없는 비지니스 관계로 사라진 그녀를 찾아야만 하는 책 커버모델 앨런(채닝 테이텀)은 의문의 파트너(브래드 피트)와 함께 위험한 섬에서 그녀를 구하고 무사히 탈출해야만 하는데…<br/><br/>적과 자연의 위험이 도사리는 일촉즉발 화산섬<br/>대환장 케미의 그들이 생존하여 섬을 탈출할 수 있을까?,,,,,,,,,,
193961,루이스 웨인: 사랑을 그린 고양이 화가 : 네이버 영화,드라마,멜로/로맨스,12세 관람가, 2022.04.06,7.96,539,베네딕트 컴버배치,클레어 포이,모든 동물이 행복해지길 바랐던 엉뚱한 천재 화가 ‘루이스’(베네딕트 컴버배치).<br/>그림 말고는 모든 게 서툴렀던 그의 앞에 어느 날 운명 같은 사랑이 찾아온다.<br/>그의 세상을 송두리째 바꿔 놓은 삶의 전부,<br/>‘에밀리’(클레어 포이) 그리고 고양이 ‘피터’.<br/><br/>모두를 다정하게 끌어안을 가장 사랑스러운 로맨스가 온다!,,,,,,,,,,,,
216171,룸 쉐어링 : 네이버 영화,드라마,전체 관람가,2022.06,,,나문희,최우성,새벽부터 다시 새벽까지 알바 스케줄로 꽉 찬 대학생 '지웅'은<br/>월세를 아끼려 룸 쉐어링을 신청한다.<br/><br/>도착하자마자 보게 된 건 온갖 라인으로 꽉 채워진 집안 꼬락서니.<br/>그리고 까다롭고 별난 할머니 '금분'의 각종 금기 사항(?)들!<br/><br/>'금분'은 밥은 각자 해결, 물과 전기 절약 필수, <br/>정갈하게 구분해둔 알록달록 각자의 라인 안에서만 생활하기 등<br/>나혼산 라이프를 꿈꾸던 '지웅'에게는 너무나 불가능한 규칙들을 읊기 시작하고,<br/>'지웅'은 울며 겨자 먹기로 깐깐한 규칙들을 받아들이기로 하는데...<br/><br/>어디 하나 닮은 구석 없는<br/>'금분'과 '지웅'의 물러설 수 없는 동거가 시작된다!<br/><br/>"두~~~~~~~~~~~~~~~~~~~~~~~~~~~둥",,,,,,,,,,,
214574,리디밍 러브 : 네이버 영화,멜로/로맨스,드라마,15세 관람가, 2022.03.23,7.69,80,아비게일 코웬,톰 루이스,팜케 얀센,누구나 품을 수 있지만, 누구도 소유할 수 없는 ‘엔젤’<br/>단 한 번도 원하는 삶을 살아본 적 없던 그녀에게<br/>운명처럼 오직 그녀를 사랑하는 남자가 나타난다<br/>무조건적인 그의 사랑에 ‘엔젤’은 매번 도망치지만<br/>조금씩, 그리고 천천히 진정한 세상을 알아가는데…<br/><br/>사랑이 이끄는 순간, 눈부신 기적이 시작된다!,,,,,,,,,
191657,리멤버 : 네이버 영화,드라마,,2022,,,이성민,남주혁,일제강점기 때 친일파들에게 가족을 모두 잃은 80대 알츠하이머 환자 필주가 기억이 다 사라지기 전, 평생을 준비한 복수를 감행하는 이야기,,,,,,,,,,,,,
194598,리멤버 미 : 네이버 영화,애니메이션,12세 관람가, 2022.06.29,,,새미 앤더슨,재클린 팜퀴스트,마이클 사사키,가족들과 평화로운 일상을 보내던 평양에 사는 9살 소년 ‘요한’.<br/><br/>어느 날 갑자기 아빠가 사라지고,<br/>그날 밤 ‘요한’은 집에 들이닥친 정부 관리자들에 의해<br/>남은 가족들과 함께 어디론가 끌려가게 되는데…<br/><br/>수많은 증언이 있었지만<br/>아무도 보지 못했고, 믿지 못했던 그곳<br/><br/>세상에서 가장 잔인한 죽음의 땅 ‘북한 정치범 수용소’<br/><br/>모든 것을 잃은 그곳에서 ‘희망’이란 조각을 찾기 위한<br/>소년 ‘요한’의 여정이 시작된다!,,,,,,,,,,,
193324,리미트 : 네이버 영화,범죄,스릴러,,2022,,,이정현,문정희,진서연,사상 최악의 유괴사건의 비밀 위장 수사에 투입된 생활안전과 경찰 ‘소은’이 유괴범과의 쫓고 쫓기는 강렬하고 치밀한 심리 드라마를 보여줄 범죄 스릴러,,,,,,,,,,,,
212656,리코리쉬 피자 : 네이버 영화,멜로/로맨스,드라마,15세 관람가, 2022.02.16,7.58,283,알라나 하임,쿠퍼 호프만,무엇이든 될 수 있을 것 같고<br/>아무것도 될 수 없을 것 같은<br/>사랑에 빠진 소년 개리와<br/>불안한 20대를 지나고 있는 알라나<br/><br/>1973년 어느 찬란한 여름날<br/>청춘의 한복판으로 달려가는 그들의 이야기,,,,,,,,,,,,,
213199,리프레쉬 : 네이버 영화,드라마,코미디,12세 관람가, 2022.02.16,7.58,64,KCM,홍경인,찬미,한때 잘 나갔던 가수 나 'K'!<br/>하지만 지금은 밤무대에 한 번 서기도 힘들다!<br/><br/>매니저 형이라고 가져오는 일들은 죄다 엉망진창!<br/><br/>그런데 이번에는 환자들 음악 수업까지 하라고?<br/>그 사람들은 치료가 필요한 사람들이야! <br/><br/>거기에 환자들을 데리고 뮤직 콘테스트까지..?<br/>하지만 더 이상 갈 곳이 없다..!<br/>이 도전, 괜찮은걸까..?,,,,,,,,,,,
196367,마녀(魔女) Part2. The Other One : 네이버 영화,액션,15세 관람가, 2022.06.15,,,신시아,박은빈,서은수,’자윤’이 사라진 뒤,<br/>정체불명의 집단의 무차별 습격으로 마녀 프로젝트가 진행되고 있는 ‘아크’가 초토화된다.<br/>그곳에서 홀로 살아남은 ‘소녀’는 생애 처음 세상 밖으로 발을 내딛고 우연히 만난 ‘경희’의 도움으로 농장에서 지내며 따뜻한 일상에 적응해간다.<br/>한편, ‘소녀’가 망실되자 행방을 쫓는 책임자 ‘장’과 마녀 프로젝트의 창시자 ‘백총괄’의 지령을 받고 제거에 나선 본사 요원 ‘조현’, ‘경희’의 농장 소유권을 노리는 조직의 보스 ‘용두’와 상해에서 온 의문의 4인방까지 각기 다른 목적을 지닌 세력이 하나 둘 모여들기 시작하면서 ‘소녀’ 안에 숨겨진 본성이 깨어나는데…<br/><br/>모든 것의 시작,<br/>더욱 거대하고 강력해진 마녀가 온다.,,,,,,,,,
206024,만년이 지나도 변하지 않는 게 있어 : 네이버 영화,멜로/로맨스,판타지,12세 관람가, 2022.02.09,6.76,377,가진동,송운화,왕정,샤오미(송운화)만 사랑해 온 직진남 샤오룬(가진동), <br/>하지만 청혼하려던 순간 갑작스런 사고로 저승에 간다. <br/>환생하고 싶으면 붉은 실로 커플 매칭을 하는 월하노인 업무를 수행해야 한다는데, <br/>하필 사사건건 부딪히던 핑키(왕정)와 파트너가 된다. <br/><br/>드디어 이승으로 내려온 ‘월하노인’ 샤오룬과 핑키.<br/>그런데 이게 웬 운명의 장난? <br/>우리가 인연을 맺어줘야 할 인간이<br/>샤오룬이 평생 사랑했던 단 한 사람, 샤오미란다!,,,,,,,,,
201766,말임씨를 부탁해 : 네이버 영화,드라마,전체 관람가, 2022.04.13,9.28,126,김영옥,김영민,박성연,85세 대구의 꼬장 할매 정말임 여사는 자식 도움 1도 필요 없다며<br/>인생 2막을 내돈내산 나홀로라이프로 즐기려 했건만 이놈의 몸이 말썽!<br/>오랜만에 외아들 종욱의 방문 탓에 팔이 부러지고, 이 사고로 요양보호사 미선을 들이게 된다.<br/>엄마 걱정에 CCTV까지 들이는 아들과는 마음과 다르게 모진 말만 오가고,<br/>요양보호사는 어쩐지 꿍꿍이가 있는 것 같아 영 맘에 안 든다.<br/>그렇게 마찰과 화해를 반복하던 중<br/>종욱 가족이 불쑥 찾아온 명절날, 묻어두었던 관계의 갈등이 터져버리는데….<br/><br/>가족이 뭐 별거야? 이제 함께 살 테니 “우리 말임씨를 부탁해!”,,,,,,,,,,
146418,매미소리 : 네이버 영화,드라마,가족,15세 관람가, 2022.02.24,9.74,193,이양희,주보비,서연우,매미소리만 들으면 곡소리를 내는 딸, '수남'<br/>곡소리 나는 초상집만 다니면 신명이 나는 아버지, '덕배'<br/><br/>최악의 죽음을 맞이하려는 딸과<br/>최고의 죽음을 찾으려는 아버지<br/><br/>진도의 어느 뜨거운 여름날<br/>20년 만에 마주친 부녀의<br/>듣그러운 불협화음 한 판이 울려 퍼진다!,,,,,,,,,,
201336,매스 : 네이버 영화,드라마,12세 관람가, 2022.05.18,8.29,102,제이슨 아이삭스,앤 도드,마샤 플림튼,돌이킬 수 없는 사건으로 아이를 잃은 두 부부의<br/>슬픔, 분노, 절망, 후회가 폭발하는<br/>111분의 마스터피스,,,,,,,,,,
216942,메두사 : 네이버 영화,공포,드라마,15세 관람가, 2022.04.28,,,메건 퍼비스,사라 T. 코엔,거리를 방황하며 포주 지미에게 구속되어 있는 칼리는 받아들일 수 없는 현실에서 언제나 탈출을 꿈꾼다.<br/>지미는 헤로인중독인 그녀를 타락시키고 칼리는 영원히 정상적인 현실로 돌아갈 수 없는 듯 체념하며 하루하루를 살아간다.<br/>그러던 어느 날 고객과의 상담 중 칼리는 고객의 뱀에게 물리고 심각한 몸의 변화를 겪게 되는데…,,,,,,,,,,,,,
208829,메리 미 : 네이버 영화,멜로/로맨스,코미디,12세 관람가, 2022.03.16,7.59,133,제니퍼 로페즈,오웬 윌슨,말루마,슈퍼스타 ‘캣 발데즈’는 화려한 공개 결혼식 콘서트 당일<br/>자신의 피앙세 ‘바스티안’이 바람을 피웠다는 사실을 알고 충격에 빠진다.<br/><br/>한편 딸에게 이끌려 온 콘서트장에서 남이 주고 간<br/>‘Marry Me’ 플래카드를 우연히 들고 있던 수학 교사 ‘찰리’.<br/><br/>‘캣 발데즈’는 그런 ‘찰리’를 향해 ‘Yes’를 외치고,<br/>전 세계가 바라보는 가운데 두 사람은 무대 위에서 결혼식을 올린다.<br/><br/>화려한 무대 위 삶이 익숙한 슈퍼스타와<br/>평범한 무대 밖의 삶 밖에 모르는 슈퍼노멀 수학 교사,<br/>두 사람의 특별한 선결혼 후연애 로맨스가 지금부터 시작된다!,,,,,,,,,,
217024,메모리 : 네이버 영화,범죄,액션,,2022.07,,,리암 니슨,가이 피어스,모니카 벨루치,단 한번의 실패도 실수도 용납할 수 없는 킬러 ‘알렉스’(리암 니슨) <br/>어느 날, 그에게 새로운 의뢰가 들어온다. <br/><br/>오직 자신의 신념에 따라 움직인 그는<br/>이 사건에 한 소녀가 연관되어 있음을 알게 되고 단칼에 거절한다.<br/><br/>의뢰를 거절했다는 이유로, 모두의 표적이 되어버린 그는<br/>오래된 병으로 인해 희미해져 가는 기억을 붙잡고,<br/>소녀와 자신을 지키기 위해 의뢰에 연관된 모든 것들을 응징하기로 한다. <br/><br/>한편, 멕시코 국경에서 사건을 맹렬히 쫓던 <br/>FBI 요원 ‘빈센트’(가이 피어스)는 ‘알렉스’를 만나게 되고,<br/>두 사람은 이 사건의 거대한 비밀과 마주하게 되는데…<br/><br/>사라지는 기억, 더욱 선명해지는 정의!<br/>마지막 응징이 시작된다!,,,,,,
213486,메이드인세운상가 : 네이버 영화,,15세 관람가, 2022.05.25,,,,1980년대의 세운상가를 통해 한국 사회를 풍자하는 연극 공연 실황,,,,,,,,,,,,,,,
216027,멘 : 네이버 영화,드라마,공포,SF,,2022,,,제시 버클리,로리 키니어,남편의 죽음 이후, 마음을 치유하기 위해<br/>평화롭고 아름다운 영국 시골 마을을 찾은 '하퍼'<br/><br/>어느 순간부터 집 주변의 숲에서 온 정체 모를 누군가,<br/>아니 '무언가'가 그를 따라다니기 시작한다.<br/><br/>공포에 질린 '하퍼'는 마을 사람들에게 도움을 청하지만<br/>경찰관, 신부, 바텐더, 심지어 어린 소년까지<br/>그들 모두 기묘한 반응을 보이는데…,,,,,,,
213495,명색이 아프레걸 : 네이버 영화,,전체 관람가, 2022.05.26,,,이소연,1954년 6월, 딸을 낳은 지 사흘 만에 극장에서 영화를 보고 나온 박남옥은 오랜만에 동료들을 만나 전쟁도 끝났으니 ‘전쟁미망인’에 대한 이야기를 다룬 영화를 만들자고 의기투합한다. 친언니로부터 투자받은 돈으로 자신의 집에 세트를 짓고, 학생시절부터 연모하던 배우 김신재에게 여주인공역을 부탁하지만 거절당한다. 일본에서 온 촬영기사 김영준을 소개받은 박남옥은 태어난 지 백일 된 딸을 업고서 ‘레디-고!’를 외치는 한편 몰려오는 구경꾼들을 막고 배우, 스태프의 식사를 준비하는 일까지 도맡으며 어렵사리 촬영을 시작하는데...,,,,,,,,,,,,
217719,명탐정 코난: 할로윈의 신부 : 네이버 영화,애니메이션,, 2022.07.20,,,,극악무도한 폭파범 ‘플라먀’에 의해 교묘한 함정에 빠진 아무로 토오루!<br/>모든 것이 베일에 가려진 ‘플라먀’,<br/>유일한 단서는 아무로 토오루가 그의 경찰 동기들과 마지막으로 함께 했던 하루.<br/>이와 동시에 결혼식의 신부가 된 경시청의 사토 형사는 불길한 예감을 감출 수 없는데…<br/><br/>도시 전체를 인질로 삼은 ‘플라먀’,<br/>그리고 이를 막으려 하는 아무로 토오루와 명탐정 코난의 숨 막히는 공조!<br/>다시 시작된 카운트다운, 할로윈의 밤이 광란으로 빛난다!,,,,,,,,,,,,
190695,모비우스 : 네이버 영화,액션,모험,드라마,15세 관람가, 2022.03.30,7.12,2,122,자레드 레토,아드리아 아르호나,희귀혈액병을 앓고 있는 생화학자 ‘모비우스’(자레드 레토)는<br/>동료인 ‘마르틴’(아드리아 아르호나)과 함께 치료제 개발에 몰두한다.<br/><br/>흡혈 박쥐를 연구하던 중 마침내 치료제 개발에 성공한 ‘모비우스’는<br/>새 생명과 강력한 힘을 얻게 되지만,<br/>동시에 흡혈을 하지 않고는 생명을 유지할 수 없게 된다.<br/><br/>그러던 중 ‘모비우스’와 같은 병을 앓고 있던 그의 친구 ‘마일로’(맷 스미스)도<br/>‘모비우스’와 같은 힘을 얻게 되는데…<br/><br/>세상을 구할 능력, 파괴할 본능!<br/>마블 최강의 안티 히어로가 탄생한다!,,,,,,,,,
208144,모어 : 네이버 영화,다큐멘터리,15세 관람가,2022.06,,,모지민,존 카메론 미첼,예브게니 슈테판,발레리나, 뮤지컬 배우, 안무가, 작가<br/>누군가의 자식, 친구, 연인<br/>성소수자, 드랙퀸, 끼순이<br/>그리고 미친X…<br/>이 세상 어디에도 속할 수 없는 나<br/>인생은 쇼, 내 이름은 모어!<br/><br/>진짜 튀는 무대를 보여줄게!,,,,,
87717,몬스터 싱어: 매직 인 파리 : 네이버 영화,애니메이션,뮤지컬,모험,전체 관람가, 2022.05.26,8.66,35,바네사 파라디,션 레논,아담 골드버그,1910년 대홍수로 에펠탑마저 물에 잠긴 파리는<br/>안개 낀 도시 곳곳에서 목격된 미스터리한 괴물로 떠들썩하다.<br/>소문의 주인공은 바로 거대 벼룩 ‘프랑코’<br/>아름다운 목소리와 마음씨를 가졌지만 무서운 외모 때문에 쫓기던 그는<br/>우연히 인기 가수 ‘루실’을 만나 가면을 쓴 가수로 데뷔한다.<br/>그들의 환상적인 공연은 대성공을 거두지만 ‘프랑코’를 수상히 여긴 경찰이<br/>포위망을 좁혀오고 친구들은 ‘프랑코’를 지키기 위해 비밀 작전을 세우는데!,,,,,,,,,,,
213559,몬스터 아일랜드 : 네이버 영화,액션,모험,SF,15세 관람가,2022.04,,,에드리언 보쳇,해저탐사업체 운영자인 백만장자 빌리와 직원 쉐리스, 라일리는 원격조종장비를 이용해 전 세계 최초로 해저 탐광을 시도하다 해저탐사 로봇을 잃게 된다. 그 후 로봇 인양작업 중 괴 생명체를 발견하고 해안경비대 혼 장군에게 급히 연락한다. 해안경비대의 긴급 경보로 괴 생명체 존재를 알게 된 해군 잠수함은 공격 작전을 펼치지만 괴 생명체는 어뢰 공격을 피하고 오히려 잠수함을 파괴시키는 어마어마한 괴력을 보인다. 그 후 해양환경 참관인 사라의 지질학 지식에 근거해 괴 생명체는 고대부터 전해 내려온 ‘괴수’라는 사실이 밝혀진다. 괴수를 공격할수록 점점 더 많은 새끼 괴수들이 생기자 빌리 일행은 고대 전설을 믿는 레나의 조언대로 화산의 눈에 괴수의 피를 가까스로 넣어 괴수 파괴자 텡구를 소환하는데...,,,,,,,,,,,,
213609,몬스터 아카데미 : 네이버 영화,애니메이션,판타지,액션,모험,전체 관람가, 2022.04.27,,,김소희,최정현,김한나,상위 1%의 천재들만 다니는 ‘크랜스턴 아카데미’<br/>그곳에 전학 온 괴짜 천재 소년 ‘대니’!<br/>학교 최고의 엄친딸 ‘리즈’와 묘한 라이벌 신경전을 벌이며<br/>아슬아슬한 학교생활을 이어간다.<br/><br/>‘대니’는 자신의 능력을 증명하기 위해 새로운 발명에 도전하던 중<br/>무심코 다른 차원으로 통하는 포털을 열게 되고,<br/>그곳에 봉인되어 있던 수많은 몬스터들이 학교를 뒤덮는데!<br/><br/>저세상 몬스터들이 몰려온다!,,,,,,,,,
213903,문폴 : 네이버 영화,액션,드라마,스릴러,SF,모험,12세 관람가, 2022.03.16,5.11,1,906,할리 베리,패트릭 윌슨,존 브래들리,궤도를 이탈한 달이 지구를 향해 떨어지기 시작하면서 지구의 중력과 모든 물리적인 법칙이 붕괴된다.<br/>거대한 해일과 지진, 화산폭발, 쓰나미와 이상기후까지 상상조차 불가능했던 모든 재난으로 전 세계는 공포와 혼란에 빠진다.<br/>달과 충돌까지 남은 시간은 단 30일. NASA 연구원 ‘파울러’(할리 베리), 전직 우주 비행사 ‘브라이언’(패트릭 윌슨),<br/>그리고 우주 덕후 ‘KC’(존 브래들리)는 달을 막을 방법을 찾기 위해 마지막 우주선에 오른다.<br/><br/>인류 멸망 D-30일, 추락하는 달을 반드시 멈춰야 한다,,,
215945,뮤지컬 킹키부츠 라이브 : 네이버 영화,뮤지컬,12세 관람가, 2022.04.28,9.14,37,,폐업 위기의 구두공장을 물려받은 ‘찰리’는<br/>우연히 하나부터 열까지 자신과 다른 ‘롤라’를 만나<br/>공장을 일으켜 세울 빅 아이디어를 얻는다.<br/>많이 찍어서 싸게 파는 보통 구두 대신<br/>적게 만들어 비싸게 파는 틈새시장 공략!<br/>80cm 남성용 부츠 ‘킹키부츠’가 바로 그 아이템이다.<br/>둘은 ‘킹키부츠’를 완성해 패션쇼에 서기로 하지만,<br/>신발끈 풀리듯 자꾸 작은 문제들이 생기고 마는데...<br/><br/>두 남자가 함께 만든 ‘킹키부츠’가<br/>패션쇼 런웨이에 섹시하게 설 수 있을까?,,,,,,,,,,,,,,
212552,미결처리반 Q: 침묵의 암살자 : 네이버 영화,범죄,스릴러,15세 관람가, 2022.01.27,,,율리히 톰센,실종된 공무원의 여권 소지 혐의로 국경 통제소에 14세 집시 소년 마르코가 체포되자<br/>칼 마크와 그의 미해결 처리부서 Q팀은 여권과 관련된 과거 미결 실종사건에 대해<br/>몇 가지 의심스러운 요소를 발견하게 된다.<br/><br/>사라진 공무원은 실종 직전 소아성애 혐의로 기소되고,<br/>이 사건은 이례적으로 2주 만에 빠르게 종결되었다는 것.<br/><br/>더 많은 단서를 찾기 위해 담당했던 형사와 실종자의 가족,<br/>그리고 피해자까지 찾아가 보지만 제대로 된 실마리를 찾지 못한다.<br/>정신적인 충격으로 모든 대화를 거부하고 침묵만 유지했던<br/>유일한 목격자 소년 마르코가 갇혀있던 보호소에서 도주하고,<br/>그 뒤를 추적하면서 어둠에 가려져 있던 범죄자들과<br/>덴마크 금융계의 지원금 횡령, 수많은 사기 사건들이 드러나기 시작하는데…,,,,,,,,,,
191634,미니언즈2 : 네이버 영화,애니메이션,모험,코미디,전체 관람가, 2022.07.27,,,스티브 카렐,타라지 P. 헨슨,루시 로리스,위기에 빠진 어린 그루를 돕기 위한 미니언들의 활약을 다룬 애니메이션 영화,,,,,,,,,,,
167588,미스터 앤 미세스 아델만 : 네이버 영화,코미디,드라마,멜로/로맨스,청소년 관람불가, 2022.01.20,7.62,26,도리아 틸리에,니콜라스 베도스,Chapter 1: 사라, 전략적 기회<br/>1971년, 파리의 낡은 클럽을 환히 밝히는 무명작가 빅터에게 한눈에 반해버렸다.<br/>우연을 가장한 적극적인 전략으로 그의 주변을 맴돌며 나를 사랑하게 만들었다.<br/>우리의 특별한 사랑으로 그는 '아델만'이라는 필명으로 성공적인 작가 데뷔를 했다. <br/>그러나 그의 인기가 높아질수록 나는 외로웠고, 이제 우리의 관계를 다시 쓰려 한다.<br/><br/>Chapter 2: 빅터, 사랑의 반전 곡선 <br/>1995년, 사라는 나에게 영감을 불어넣는 인생의 뮤즈이자 1호 팬이 되었다.<br/>이제는 내 소설의 전부인 사라의 미소 없이는 글을 쓸 수도 숨을 쉴 수도 없다.<br/>마침내 공쿠르상을 수상한 성공적인 작가가 되었지만, <br/>세월이 흐를수록 아름다워지는 사라가 영영 내 곁을 떠날 것만 같아 두렵다.<br/><br/>Chapter 3:  미스터 앤 미세스 아델만 <br/>2016년, 사라 아델만과 빅터 아델만의 45년간의 드라마틱한 러브 스토리<br/>그리고 필명 '아델만'에 숨겨놓은 두 사람의 영원한 비밀 이야기,,,,,
198967,미싱타는 여자들 : 네이버 영화,다큐멘터리,전체 관람가, 2022.01.20,8.77,86,이숙희,신순애,임미경,1970년대 평화시장에는<br/>가난해서 혹은 여자라서 공부 대신 미싱을 타며<br/>‘시다’ 또는 ‘공순이’로 불린 소녀들이 있었다<br/><br/>저마다 가슴에 부푼 꿈을 품고 향했던 노동교실<br/>그곳에서 소녀들은 서로의 이름을 부르고,<br/>노래를 하고, 희망을 키웠다<br/><br/>다른 시대를 살았던 청춘이<br/>오늘의 청춘에게 보내온 편지,,,,,,,,,,,
