code,title,genre,age,openDate,rate,participate,actors,story,,,,,,,,,,,,,
195962,고양이에게 밥을 주지 마세요 : 네이버 영화,다큐멘터리,전체 관람가, 2021.11.11,5.48,1,,,,,,,,,,,,,,,
209496,고장난 론 : 네이버 영화,애니메이션,전체 관람가, 2021.10.27,8.98,1,,,,,,,,,,,,,,,
191637,고질라 VS. 콩 : 네이버 영화,액션,12세 관람가,,,,,,,,,,,,,,,,,,
197491,골든맨 : 네이버 영화,범죄,,,,,,,,,,,,,,,,,,,
206177,공작조: 현애지상 : 네이버 영화,범죄,,,,,,,,,,,,,,,,,,,
191267,관계의 가나다에 있는 우리는 : 네이버 영화,드라마,전체 관람가, 2021.01.28,8.3,60,은해성,,,,,,,,,,,,,,
205629,괴기맨숀 : 네이버 영화,공포,15세 관람가, 2021.06.30,6.09,497,성준,,,,,,,,,,,,,,
195184,괴짜들의 로맨스 : 네이버 영화,멜로/로맨스,,,,,,,,,,,,,,,,,,,
191887,구독좋아요알림설정 : 네이버 영화,코미디,,,,,,,,,,,,,,,,,,,
200183,구라,,,,,,,,,,,,,,,,,,,,
190012,구원 : 네이버 영화,스릴러,청소년 관람불가, 2021.04.08,7.05,104,김대건,,,,,,,,,,,,,,
208979,구원받은 도둑 : 네이버 영화,드라마,12세 관람가, 2021.10.28,,,제이 지앤넌,,,,,,,,,,,,,,
202086,굴뚝마을의 푸펠 : 네이버 영화,애니메이션,,,,,,,,,,,,,,,,,,,
201681,귀멸의 칼날: 나타구모산 편  : 네이버 영화,애니메이션,15세 관람가, 2021.11.17,8.32,221,하나에 나츠키,,,,,,,,,,,,,,
201680,귀멸의 칼날: 남매의 연 : 네이버 영화,애니메이션,15세 관람가, 2021.11.10,6.81,329,하나에 나츠키,,,,,,,,,,,,,,
201684,귀멸의 칼날: 주합회의·나비저택 편 : 네이버 영화,애니메이션,15세 관람가, 2021.12.01,7.77,137,하나에 나츠키,,,,,,,,,,,,,,
206168,귀문 : 네이버 영화,미스터리,,,,,,,, 심령연구소 소장 도진은 지박령을 천도시키고 어머니의 한을 풀기 위해 귀사리 폐수련원을 찾는다. 저승과 이승을 이어주는 ‘귀문’을 통해 1990년의 초공간으로 들어간 도진은 도리어 악귀에게 쫓기다가 1996년 실종된 대학생 3인방과 조우하게 되는데...<br/><br/>귀문 너머 초공간에 갇힌 1990년의 지박령들과 그곳으로 들어간 도진 그리고 1996년에 실종되어 시간이 반복되는 또 다른 초공간에 갇힌 대학생 3인방.<br/>이들이 만들어내는 소름 끼치는 공포가 귀사리 폐수련원에서 펼쳐진다.<br/><br/> 들어온 자, 나갈 수 없다!<br/> 감당할 수 있다면 ‘귀문’을 열어라!,,,,,,,,,,
194887,귀신 : 네이버 영화,코미디,,,,,,,,,,,,,,,,,,,
200193,귀여운 남자 : 네이버 영화,코미디,15세 관람가, 2021.01.14,5.52,75,신민재,,,,,,,,,,,,,,
211179,귀토-토끼의 팔란 : 네이버 영화,,전체 관람가, 2021.11.11,9.8,5,김준수,,,,,,,,,,,,,,
196221,그 여름,,,,,,,,,,,,,,,,,,,,
198627,그녀가 사라졌다 : 네이버 영화,멜로/로맨스,12세 관람가, 2021.03.17,8.46,93,브렌튼 스웨이츠,,,,,,,,,,,,,,
174258,그녀의 가족은 잘못이 없어 : 네이버 영화,,15세 관람가, 2021.10.14,,,조주경,,,,,,,,,,,,,,
206275,그녀의 이름은 파니 : 네이버 영화,범죄,청소년 관람불가, 2021.06.24,,,,페이가는 가족과 보석상에 들렀다가 강도인 하르스키를 만나 첫눈에 사랑에 빠져 그와 도피한다. <br/>알게된 그의 정체는 혁명단원으로,,,,,,,,,,,,,
198399,그대 너머에 : 네이버 영화,멜로/로맨스,전체 관람가, 2021.09.09,7.96,24,김권후,,,,,,,,,,,,,,
208843,그런 일은 일어나지 않았지 : 네이버 영화,드라마,,,,,,,,,,,,,,,,,,,
208853,그레이트 샤크2 : 네이버 영화,액션,,,,,,,,,,,,,,,,,,,
196570,그레타 툰베리 : 네이버 영화,다큐멘터리,전체 관람가, 2021.06.17,5.03,120,,기후 변화 법안 마련 촉구를 위해 금요일마다 학교를 결석하며<br/>의회 앞에서 홀로 시위를 시작한 15세 소녀 ‘그레타 툰베리’.<br/>그녀가 쏘아 올린 ‘미래를 위한 금요일’ 운동은 전 세계로 퍼져나가는데…<br/><br/>평범한 10대 소녀에서<br/>어른들의 무감각한 환경 의식에 일침을 가하는<br/>세계적인 청소년 환경운동가가 되기까지!<br/><br/>700만을 움직인 그녀의 외침에 주목하라!,,,,,,,,,,,,,
202370,그리고 방행자 : 네이버 영화,다큐멘터리,12세 관람가, 2021.03.11,9.26,34,방행자,,,,,,,,,,,,,,
204768,그린 나이트 : 네이버 영화,모험,,,,,,,, 너의 목에 명예를 걸어라!,,,,,,,,,,,
188826,그림자꽃 : 네이버 영화,다큐멘터리,12세 관람가, 2021.10.27,6.46,79,,일종의 사고였다. 2011년,,,,,,,,,,,,,
196051,극장판 귀멸의 칼날: 무한열차편 : 네이버 영화,애니메이션,15세 관람가,2022.04.21 2021.01.27,9.27,13,,,,,,,,,,,,,,,
196049,극장판 도라에몽: 진구의 신공룡 : 네이버 영화,애니메이션,,,,,,,,,,,,,,,,,,,
208080,극장판 마이 리틀 포니: 새로운 희망 : 네이버 영화,애니메이션,,,,,,,,,,,,,,,,,,,
201923,극장판 바다 탐험대 옥토넛 : 불의 고리 대폭발 : 네이버 영화,애니메이션,,,,,,,,,,,,,,,,,,,
208872,극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아 : 네이버 영화,애니메이션,,,,,,,, 고독한 검사 키리토였다.,,,,,,,,,,,
205968,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들 : 네이버 영화,애니메이션,전체 관람가, 2021.09.15,9.28,590,박영남,,,,,,,,,,,,,,
203488,극장판 콩순이: 장난감나라 대모험 : 네이버 영화,애니메이션,전체 관람가, 2021.05.05,8.88,163,,“진짜 진짜 이번이 마지막! 이것만 사주세요~!”<br/>장난감가게의 새 장난감을 보니 콩순이의 가슴은 콩닥콩닥!<br/>그런데 엄마는 안 된다고만 하고 흥.칫.뿡!<br/>“콩순아,,,,,,,,,,,,,
201961,극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람 : 네이버 영화,애니메이션,,,,,,,,,,,,,,,,,,,
201711,극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람 : 네이버 영화,애니메이션,,,,,,,,,,,,,,,,,,,
200894,극장판 포켓몬스터: 정글의 아이,,,,,,,,,,,,,,,,,,,,
207183,글래디에이터: 레전드 워리어 : 네이버 영화,액션,,,,,,,,,,,,,,,,,,,
209078,기문둔갑: 괴소소녀 : 네이버 영화,판타지,,,,,,,,,,,,,,,,,,,
